name
John Kerr
Paul Newman
Anthony Perkins
Deborah Kerr
Judy Holliday
Machiko Kyo
Marilyn Monroe
Debbie Reynolds
"West Germany, Gottfried Reinhardt"
"Greece, Michael Cacoyannis"
"Japan, Keisuke Kinoshita"
"Italy, King Vidor"
"Finland, Erik Blomberg"
"United Kingdom, Laurence Olivier"
James Dean
Kim Novak
Ronald Reagan
"Bridge on the River Kwai, The"
12 Angry Men (1957)
Wild is the Wind
Witness for the Prosecution
Sayonara
Les Girls
Don't Go Near The Water
Love in the Afternoon
Pal Joey
Silk Stockings
Joanne Woodward
Marlene Dietrich
Deborah Kerr
Anna Magnani
Eva Marie Saint
Alec Guinness
Marlon Brando
Henry Fonda
Anthony Franciosa
Charles Laughton
Frank Sinatra
Glenn Ford
David Niven
Tony Randall
Maurice Chevalier
Elsa Lanchester
Mildred Dunnock
Hope Lange
Heather Sears
Miyoshi Umeki
Red Buttons
Sessue Hayakawa
Nigel Patrick
Ed Wynn
Lee J. Cobb
David Lean
Joshua Logan
Sidney Lumet
Billy Wilder
Fred Zinnemann
Buddy Adler
Gene Kelly
Jack Benny
Eddie Fisher
Alfred Hitchcock
Mike Wallace
Hugo Friedhofer
Zsa Zsa Gabor
Bob Hope
Le Roy Prinze
Jean Simmons
Sandra Dee
Carolyn Jones
Diane Varsi
James Garner
John Saxon
Patrick Wayne
Taina Elg
Kay Kendall
Cyd Charisse
Audrey Hepburn
Jean Simmons
"West Germany, Kurt Hoffmann"
"Mexico, Ismael Rodríguez"
"Japan, Heinosuke Gosho"
"United Kingdom, J. Lee Thompson"
Tony Curtis
Doris Day
"Defiant Ones, The"
Home Before Dark
I Want To Live!
Separate Tables
Cat on a Hot Tin Roof
Susan Hayward
Ingrid Bergman
Deborah Kerr
Shirley MacLaine
Jean Simmons
David Niven
Tony Curtis
Sidney Poitier
Robert Donat
Spencer Tracy
Danny Kaye
Maurice Chevalier
Clark Gable
Cary Grant
Louis Jourdan
Hermione Gingold
Maureen Stapleton
Cara Williams
Peggy Cass
Wendy Hiller
Burl Ives
Harry Guardino
David Ladd
Gig Young
Efrem Zimbalist Jr.
Vincente Minnelli
Richard Brooks
Stanley Kramer
Delbert Mann
Robert Wise
Maurice Chevalier
Gigi
Damn Yankees
Tom Thumb
Mark Robson
Stanley Kramer
Peter Glenville
Douglas Sirk
Edward Dmytryk
Auntie Mame
The Perfect Furlough
"Bell, Book and Candle"
Indiscreet
Me and the Colonel
Paul Coates
William Orr
Red Skelton
Ann Sothern
Ed Sullivan
Loretta Young
Shirley MacLaine
"India, V. Shantaram"
Linda Cristal
Susan Kohner
Tina Louise
Joanna Barnes
Carol Lynley
France Nuyen
Bradford Dillman
John Gavin
Efrem Zimbalist Jr.
David Ladd
Ricky Nelson
Ray Stricklyn
David Ladd
Rosalind Russell
Ingrid Bergman
Leslie Caron
Doris Day
Mitzi Gaynor
"West Germany, Rolf Thiele"
"Italy, Yugoslavia, Giuseppe De Santis"
"France, François Villiers"
"United Kingdom, Roy Ward Baker"
Rock Hudson
Deborah Kerr
Ben-Hur
Anatomy of a Murder
"Diary of Anne Frank, The"
"Nun's Story, The"
On The Beach
Elizabeth Taylor
Audrey Hepburn
Lee Remick
Simone Signoret
Katharine Hepburn
Anthony Franciosa
Joseph Schildkraut
Richard Burton
Charlton Heston
Fredric March
Jack Lemmon
Clark Gable
Cary Grant
Dean Martin
Sidney Poitier
Susan Kohner
Edith Evans
Estelle Hemsley
Juanita Moore
Shelley Winters
Stephen Boyd
Fred Astaire
Tony Randall
Robert Vaughn
Joseph Welch
William Wyler
Stanley Kramer
Otto Preminger
George Stevens
Fred Zinnemann
Ernest Gold
Bing Crosby
Ramon Novarro
Porgy and Bess
"Five Pennies, The"
Li'l Abner
"Private's Affair, A"
Say One For Me
George Stevens
Fred Zinnemann
Robert Wise
Stanley Kramer
Philip Leacock
Some Like It Hot
But Not For Me
Operation Petticoat
Pillow Talk
Who Was That Lady?
Edward R. Murrow
Andrew Marton
Fred Zinnemann
"United Kingdom, Jack Clayton"
Janet Munro
Stella Stevens
Tuesday Weld
Angie Dickinson
Diane Baker
Carol Lynley
Yvette Mimieux
Cindy Robbins
James Shigeta
Barry Coe
Troy Donahue
George Hamilton
Michael Callan
Marilyn Monroe
Dorothy Dandridge
Doris Day
Shirley MacLaine
Lilli Palmer
"West Germany, Kurt Hoffmann"
"France, Marcel Camus"
"West Germany, Bernhard Wicki"
"Japan, Kon Ichikawa"
"Sweden, Ingmar Bergman"
Doris Day
Rock Hudson
Spartacus
Elmer Gantry
Inherit the Wind - 1960
Sons and Lovers
Sunrise at Campobello
Greer Garson
Doris Day
Nancy Kwan
Jean Simmons
Elizabeth Taylor
Burt Lancaster
Spencer Tracy
Trevor Howard
Laurence Olivier
Dean Stockwell
Jack Lemmon
Dirk Bogarde
Cantinflas
Cary Grant
Bob Hope
Janet Leigh
Ina Balin
Shirley Jones
Shirley Knight
Mary Ure
Sal Mineo
Ray Stricklyn
Woody Strode
Peter Ustinov
Lee Kinsolving
Jack Cardiff
Richard Brooks
Stanley Kubrick
Billy Wilder
Fred Zinnemann
Dimitri Tiomkin
Johnny Green
Alex North
George Duning
Ernest Gold
Fred Astaire
Song Without End 
Bells Are Ringing
Walter Lang
Jerry Wald
George Sidney
Philip Leacock
Ralph Thomas
"Apartment, The"
Our Man in Havana
"Facts of Life, The"
"Grass is Greener, The"
It Started in Naples
Hong Kong
William Hanna
Walter Cronkite
Stanley Kramer
Fred Zinnemann
"Greece, Jules Dassin"
Ina Balin
Nancy Kwan
Hayley Mills
Jill Haworth
Shirley Knight
Julie Newmar
Michael Callan
Mark Damon
Brett Halsey
Peter Falk
David Janssen
Robert Vaughn
Shirley MacLaine
Lucille Ball
Capucine
Judy Holliday
Sophia Loren
"France, Henri-Georges Clouzot"
"Sweden, Ingmar Bergman"
"United Soviet Socialist Republics, Grigoriy Chukhray"
"France, Alain Resnais"
"India, Satyajit Ray"
"United Kingdom, Ken Hughes"
United Kingdom
United Kingdom
Tony Curtis
Rock Hudson
Gina Lollobrigida
The Guns Of Navarone
El Cid
Fanny
Judgment at Nuremberg
Splendor in the Grass
Geraldine Page
Leslie Caron
Shirley MacLaine
Claudia McNeil
Natalie Wood
Maximilian Schell
Sidney Poitier
Warren Beatty
Maurice Chevalier
Paul Newman
Glenn Ford
Fred Astaire
Richard Beymer
Bob Hope
Fred MacMurray
Rita Moreno
Fay Bainter
Judy Garland
Lotte Lenya
Pamela Tiffin
George Chakiris
Montgomery Clift
Jackie Gleason
Tony Randall
George C. Scott
Stanley Kramer
J. Lee Thompson
Anthony Mann
Robert Wise
William Wyler
Dimitri Tiomkin
Elmer Bernstein
Miklos Rozsa
Harold Rome
Miklos Rozsa
"Town Without Pity, Dimitri Tiomkin, Ned Washington"
Judy Garland
West Side Story
Flower Drum Song
Mervyn LeRoy
Périer Étienne
Stanley Kramer
A Majority Of One
Breakfast at Tiffany's
"One, Two, Three"
Pocketful of Miracles
Samuel Bronston
"United Kingdom, Guy Green"
Greece
Denmark
Japan
Ann-Margret
Jane Fonda
Christine Kaufmann
Pamela Tiffin
Cordula Trantow
Warren Beatty
Bobby Darin
George Chakiris
George C. Scott
Richard Beymer
My Three Sons
What's My Line?
Rosalind Russell
Bette Davis
Audrey Hepburn
Hayley Mills
Miyoshi Umeki
John Daly
Bob Newhart
"Italy, Vittorio De Sica"
"West Germany, Axel von Ambesser"
"Mexico, Ismael Rodríguez"
Charlton Heston
Marilyn Monroe
Pauline Frederick
Lawrence Of Arabia
Days of Wine and Roses
Freud
Lisa
"Longest Day, The"
"Miracle Worker, The"
Mutiny on the Bounty
To Kill A Mockingbird
Hemingway's Adventures of a Young Man
"Chapman Report, The"
Geraldine Page
Bette Davis
Katharine Hepburn
Glynis Johns
Melina Mercouri
Lee Remick
Susan Strasberg
Shelley Winters
Susannah York
Anne Bancroft
Gregory Peck
Bobby Darin
Jackie Gleason
Laurence Harvey
Burt Lancaster
Jack Lemmon
James Mason
Paul Newman
Peter O'Toole
Anthony Quinn
Marcello Mastroianni
Cary Grant
Charlton Heston
Karl Malden
Robert Preston
Alberto Sordi
James Stewart
Stephen Boyd
Jimmy Durante
Angela Lansbury
Patty Duke
Hermione Gingold
Shirley Knight
Susan Kohner
Gabriella Pallotta
Martha Raye
Kaye Stevens
Jessica Tandy
Tarita
Omar Sharif
Ed Begley
Victor Buono
Harry Guardino
Ross Martin
Paul Newman
Cesar Romero
Telly Savalas
Peter Sellers
Harold J. Stone
David Lean
Blake Edwards
John Frankenheimer
John Huston
Stanley Kubrick
Mervyn LeRoy
Robert Mulligan
Martin Ritt
George Cukor
Morton DaCosta
Elmer Bernstein
Maurice Jarre
Meredith Willson
Bronislau Kaper
Franz Waxman
"Defenders, The"
Bob Hope
Meredith Willson's The Music Man
Billy Rose's Jumbo
The Wonderful World Of The Brothers Grimm
Robert Mulligan
Guy Hamilton
David Swift
That Touch of Mink
The Best Of Enemies
Boys' Night Out
If a Man Answers
Period of Adjustment
Nat King Cole
"France, Serge Bourguignon"
"Italy, Guy Hamilton"
United Kingdom
Patty Duke
Sue Lyon
Rita Tushingham
Daliah Lavi
Janet Margolin
Suzanne Pleshette
Omar Sharif
Terence Stamp
Keir Dullea
Peter O'Toole
Paul Wallace
"Dick Powell Theatre, The"
Rod Serling
Mr. Ed
Rosalind Russell
Doris Day
Jane Fonda
Shirley Jones
Natalie Wood
Richard Chamberlain
"Italy, Pietro Germi"
Rock Hudson
Doris Day
Fred A. Young
Donna Reed
Jean Bourgoin
Telstar
"Cardinal, The"
"America, America"
"Captain Newman, M.D."
"Caretakers, The"
Cleopatra
"Great Escape, The"
Hud
Lilies of the Field
Tom Jones
"Ticklish Affair, A"
Under The Yum Yum Tree
Bye Bye Birdie
Irma La Douce
"It's a Mad, Mad, Mad, Mad World"
Leslie Caron
Polly Bergen
Geraldine Page
Rachel Roberts
Romy Schneider
Alida Valli
Marina Vlady
Natalie Wood
Sidney Poitier
Tom Tryon
Marlon Brando
Stathis Giallelis
Rex Harrison
Steve McQueen
Paul Newman
Gregory Peck
Alberto Sordi
Albert Finney
James Garner
Cary Grant
Jack Lemmon
Jack Lemmon
Frank Sinatra
Terry-Thomas
Jonathan Winters
Margaret Rutherford
Edmond O'Brien
Wendy Hiller
Linda Marsh
Patricia Neal
Liselotte Pulver
Lilia Skala
Diane Baker
Joan Greenwood
John Huston
Paul Mann
Roddy McDowall
Gregory Rozakis
Lee J. Cobb
Bobby Darin
Melvyn Douglas
Hugh Griffith
Elia Kazan
Hall Bartlett
George Englund
Joseph L. Mankiewicz
Otto Preminger
Tony Richardson
Martin Ritt
Robert Wise
"Richard Boone Show, The"
Bonanza
"Defenders, The"
"Eleventh Hour, The"
Rawhide
Joseph E. Levine
Ralph Nelson
Otto Preminger
Jack Arnold
Elia Kazan
David Miller
Connie Francis
"Italy, Vittorio De Sica"
Ursula Andress
Tippi Hedren
Elke Sommer
Joey Heatherton
Leslie Parish
Maggie Smith
Albert Finney
Stathis Giallelis
Robert Walker Jr.
Alain Delon
Peter Fonda
Larry Tucker
"Dick Van Dyke Show, The"
"Bob Hope Show, The"
"Jack Benny Program, The"
"Red Skelton Hour, The"
"Beverly Hillbillies, The"
"Danny Kaye Show, The"
"Andy Williams Show, The"
"Garry Moore Show, The"
"Judy Garland Show, The"
"Tonight Show, The"
Shirley MacLaine
Ann-Margret
Doris Day
Audrey Hepburn
Hayley Mills
Molly Picon
Jill St. John
Joanne Woodward
Mickey Rooney
E. G. Marshall
Richard Boone
Jackie Gleason
Lorne Greene
"France, Italy, Henri Verneuil"
"Italy, Nanni Loy"
"Japan, Akira Kurosawa"
"Japan, Kon Ichikawa"
"Italy, Gian Luigi Polidoro"
United Kingdom
United Kingdom
United Kingdom
Sophia Loren
Paul Newman
Inger Stevens
Shirley Booth
Carolyn Jones
Dorothy Loudon
Gloria Swanson
Becket
"Chalk Garden, The"
Dear Heart
"Night of the Iguana, The"
Zorba The Greek
My Fair Lady
Mary Poppins
"Unsinkable Molly Brown, The"
"World of Henry Orient, The"
Father Goose
Anne Bancroft
Rita Hayworth
Geraldine Page
Jean Seberg
Ava Gardner
Peter O'Toole
Anthony Franciosa
Fredric March
Anthony Quinn
Richard Burton
Rex Harrison
Peter Sellers
Peter Ustinov
Dick Van Dyke
Marcello Mastroianni
Agnes Moorehead
Elizabeth Ashley
Grayson Hall
Lila Kedrova
Ann Sothern
Stanley Holloway
Edmond O'Brien
Lee Tracy
Gilbert Roland
Cyril Delevanti
George Cukor
Michael Cacoyannis
John Frankenheimer
Peter Glenville
John Huston
Dimitri Tiomkin
Laurence Rosenthal
Richard M. Sherman
Jerry Goldsmith
Mikis Theodorakis
"Circus World, Dimitri Tiomkin, Ned Washington"
"From Russia With Love, John Barry, Lionel Bart"
"Sunday In New York, Peter Nero, Carroll Coates"
"Where Love Has Gone, Jimmy Van Heusen, Sammy Cahn"
"Dear Heart, Henry Mancini, Jay Livingston, Ray Evans"
James Stewart
Mia Farrow
Celia Kaye
Mary Ann Mobley
Harve Presnell
George Segal
 Topol
"Rogues, The"
"Red Skelton Hour, The"
12 O'Clock High
Wendy and Me
"Munsters, The"
Julie Andrews
Audrey Hepburn
Sophia Loren
Melina Mercouri
Debbie Reynolds
Gene Barry
Robert Vaughn
Richard Crenna
James Franciscus
David Janssen
"Italy, Vittorio De Sica"
"United Kingdom, Desmond Davis"
Sophia Loren
Marcello Mastroianni
Mary Tyler Moore
Dorothy Malone
Yvette Mimieux
Elizabeth Montgomery
Julie Newmar
Doctor Zhivago
"Collector, The"
"Flight of the Phoenix, The"
"Patch of Blue, A"
Ship of Fools
"Sound of Music, The"
Cat Ballou
The Great Race
Those Magnificent Men in Their Flying Machines
"Thousand Clowns, A"
Samantha Eggar
Maggie Smith
Julie Christie
Elizabeth Hartman
Simone Signoret
Omar Sharif
Rex Harrison
Sidney Poitier
Rod Steiger
Oskar Werner
Lee Marvin
Alberto Sordi
Jack Lemmon
Jerry Lewis
Jason Robards Jr.
Ruth Gordon
Joan Blondell
Joyce Redman
Thelma Ritter
Peggy Wood
Oskar Werner
Red Buttons
Frank Finlay
Telly Savalas
David Lean
Guy Green
John Schlesinger
Robert Wise
William Wyler
Robert Bolt
Philip Dunne
John Kohn
Guy Green
Stirling Silliphant
Maurice Jarre
Benjamin Frankel
Henry Mancini
Johnny Mandel
Riz Ortolani
"Forget Domani, Riz Ortolani, Norman Newell"
"The Ballad Of Cat Ballou, Jerry Livingston, Mack David"
"The Shadow Of Your Smile, Johnny Mandel, Paul Francis Webster"
"The Sweetheart Tree, Henry Mancini, Johnny Mercer"
"That Funny Feeling, Bobby Darin"
John Wayne
Elizabeth Hartman
Donna Butterworth
Geraldine Chaplin
Rosemary Forsyth
Maura McGiveney
Robert Redford
Ian Bannen
James Caan
James Fox
Tom Nardini
"Man From U.N.C.L.E., The"
Frank Sinatra: A Man and His Music
Get Smart
I Spy
My Name Is Barbra
Julie Andrews
Natalie Wood
Jane Fonda
Barbara Harris
Rita Tushingham
David Janssen
Don Adams
Ben Gazzara
David McCallum
Robert Vaughn
"Italy, Federico Fellini"
"France, Roger Vadim"
"Mexico, Luis Alcoriza"
"France, Jacques Demy"
"Japan, Akira Kurosawa"
"United Kingdom, John Schlesinger"
"United Kingdom, Richard Lester"
"United Kingdom, Sidney J. Furie"
"Czechoslovakia, Jirí Weiss"
"United Kingdom, Stuart Burge"
Paul Newman
Natalie Wood
Anne Francis
Patty Duke
Mia Farrow
Dorothy Malone
Barbara Stanwyck
"Man for All Seasons, A"
Born Free
"Professionals, The"
The Sand Pebbles
Who's Afraid of Virginia Woolf?
"Russians Are Coming, The Russians Are Coming, The"
"Funny Thing Happened on the Way to the Forum, A"
Gambit
"Not With My Wife, You Don't"
You're a Big Boy Now
Anouk Aimée
Natalie Wood
Ida Kaminska
Virginia McKenna
Elizabeth Taylor
Paul Scofield
Richard Burton
Michael Caine
Steve McQueen
Max von Sydow
Alan Arkin
Michael Caine
Lionel Jeffries
Walter Matthau
Alan Bates
Jocelyn Lagarde
Sandy Dennis
Vivien Merchant
Geraldine Page
Shelley Winters
Richard Attenborough
John Saxon
George Segal
Robert Shaw
Mako
Fred Zinnemann
