Julius Petersen
Francesco Barberino Benici
Michael Aschbacher
Gert Sabidussi
Bertram Kostant
Arnaud Denjoy
Notker Labeo
Christian Goldbach
Harvey P. Greenspan
Steven Haberman
Dorit S. Hochbaum
Jarl Waldemar Lindeberg
Sifeng Liu
Gaspare Mainardi
Herman Otto Hartley
Daniel J. Bernstein
Shihoko Ishii
Eric Temple Bell
Miklós Bóna
Gottlob Frege
Shing-Tung Yau
Peter V. E. McClintock
Eugene M. Luks
Léon Bottou
Brahmadeva
Yves Laszlo
Eric Goles
Yang Hui
Robert Edmund O'Malley
Benson Farb
John Backus
Éamon de Valera
Ralph Greatorex
Felix Berezin
Pierre Frédéric Sarrus
Edward Szturm de Sztrem
Wilhelm Ackermann
Vera Pawlowsky-Glahn
David Orrell
Carlos Conca
Leonty Magnitsky
Daniel Lightwing
Helmut Grunsky
Colm Mulcahy
Mojżesz David Kirszbraun
Ernest Michael
Anna Mullikin
Paul Fearnhead
Philipp Ludwig von Seidel
Katsumi Nomizu
Michael Freedman
Sze-Tsen Hu
S. R. Ranganathan
Torkel Franzén
Meyer Jerison
Jean-Baptiste Morin 
Gerhard Geise
Otakar Borůvka
Sergiu Hart
Axel Thue
Hermann Bondi
Marcel-Paul Schützenberger
Alexey Gorgidze
Evgeny Yakovlevich Remez
Marie-Françoise Roy
Felix Klein
Robert Simpson Woodward
Peter Balazs 
Umaswati
Arthur Stanley Ramsey
Sergey Nikolsky
Anneli Cahn Lax
Joseph J. Rotman
John Edensor Littlewood
Issachar ben Mordecai ibn Susan
Peter Keevash
Laurent C. Siebenmann
Anaxagoras
John Leech 
Yuri Linnik
Dennis DeTurck
Ioan James
Claude Berge
Carole Lacampagne
Charles Sanders Peirce
Themistoclea
Roy C. Geary
Yang Le
Donald Samuel Ornstein
Sydney Chapman 
Boris Weisfeiler
Moritz Cantor
John Hammersley
W. W. Rouse Ball
Edgar Frisby
Oscar Lanford
Vladimir Mazya
Eugenio Oñate Ibañez de Navarra
Alemdar Hasanoğlu
Achyuta Pisharati
Mihir Baran Banerjee
Saunders Mac Lane
Victor Lidskii
Paul Harzer
Peter Turchin
Sijue Wu
Patrick Murdoch
Emmanuel Grenier
Edward Ott
Beppo Levi
Walter Francis Willcox
Hernando Burgos-Soto
Sol Garfunkel
Li Ye 
Oleg Besov
Derrick Niederman
Albrecht Pfister 
Melvyn B. Nathanson
Jane Cronin Scanlon
Hippias
Philip Batchelor
Gottfried Wilhelm Leibniz
Selim Peabody
Nae Ionescu
Rachel Riley
Andrzej Schinzel
Jean Frédéric Frenet
Yvon Villarceau
James Wood 
Vlastimil Pták
Nicolai Reshetikhin
Joseph-Émile Barbier
László Lempert
Viktor Bunyakovsky
Corrado de Concini
Gustave Malécot
Alvany Rocha
Leopold Kronecker
William Y.C. Chen
Tony Greenfield
Robert Arnott Wilson
Miguel Ángel Fernández Sanjuán
Peter Lax
Abraham Robinson
Iain M. Johnstone
Theodorus Moretus
Thomas Callister Hales
Philippe Kahn
George Bergman
Aṣ-Ṣaidanānī
Bram van Leer
Vera Kublanovskaya
Marcia P. Sward
Daniel Pedoe
Yuri Petunin
Okan Ersoy
Teresa Cohen
Edward Barbeau
George Thibaut
Leo Zippin
George Sinclair 
David Cox 
Étienne Fouvry
Lawrie Brown
Wu Renchen
Florence Nightingale David
Athir al-Din al-Abhari
Michio Jimbo
Inder Bir Singh Passi
Gilbert Ames Bliss
Timothy Browning
Monique Laurent
Suzanne Weekes
Jerome Cornfield
Josiah Willard Gibbs
Michael Benedicks
Lynne H. Walling
Nathan Daboll
James (Mac) Hyman
William Caspar Graustein
Ib Madsen
Curtis T. McMullen
Woody Bledsoe
Leslie Fox
Hélène Esnault
Bernadette Perrin-Riou
Hugo Rossi
Heinrich Bruns
Henry Wilbraham
Józef Buzek
Simon B. Kochen
Alfred Inselberg
Elizabeth Sparrow
Bernhard Neumann
Stephanie Singer
T. O. Engset
Gustavo Colonnetti
Peter Whittle 
Sakabe Kōhan
Heinrich Martin Weber
Vladimir Mironenko
Ibn Muʿādh al-Jayyānī
Elliot Koffman
Conrad Habicht
Raghavan Narasimhan
Anders Hald
John Machin
Steffen Lauritzen
Wim Cohen
Ibn Sahl
Johannes von Gmunden
Aleksey Letnikov
Ernst Hellinger
Svetlozar Rachev
Amy Ellis
Joanne Martin
Andrei Bolibrukh
Marion Scheepers
Flora Philip
Charles Newton Little
George H. Bryan
Arthur Milgram
Susan Howson
Radoslav Harman
Haynes Miller
Gang Tian
Noah Bridges
Christian Zeller
Boris Chirikov
Alexander Kuznetsov 
Rod Driver
Hans Werner Ballmann
Mark Naimark
Teodor von Burg
Hermann Kober
Yujiro Kawamata
Jacques F. Benders
Igor Kluvánek
Haim Hanani
Zygmunt Wilhelm Birnbaum
Col Hutchinson
Heinz-Dieter Ebbinghaus
Charles B. Morrey Jr.
Dennis Gaitsgory
Ole Michael Ludvigsen Selberg
Theodore Seio Chihara
William Sealy Gosset
Karl-Otto Stöhr
Peter Nicholson (architect)
György Alexits
Dario Graffi
Phoolan Prasad
Ed Scheinerman
Rudolf Halin
Dietrich Tzwyvel
Wolfgang Franz 
Laurence Chisholm Young
Pierre-Antoine Véron
Klaus Fischer 
Ivan Vinogradov
Kevin Costello
Michael Spivak
Yakov Geronimus
Thomas Muir 
Jerry Kazdan
Elwyn Berlekamp
Sergey Stechkin
James R. Norris
Ira Gessel
George Springer 
Helmut Hofer
Giambattista Suardi
Abu al-Jud
Arthur Geoffrey Walker
Marcin Odlanicki Poczobutt
Steven Strogatz
Warren Randolph Burgess
Susan Friedlander
Joel Shapiro 
Alfred J. Lotka
Ron Eglash
Eugene Wigner
Francisco Antônio Dória
Theodore Wilbur Anderson
Karl Adams 
Gustaf Eneström
Karl Bopp
Sergey Bobkov
Edmund Hess
Al-Birjandi
Hypatia of Alexandria
Andreas Brandstädt
Edward Rowe Mores
Christian Pommerenke
George B. Purdy
Alexander Lubotzky
Theodor Schwenk
Tadeusz Iwaniec
Eric Anders Carlen
Pierre Deligne
Eustachio Manfredi
Stanisław Mazur
Ion Ionescu de la Brad
Jean Leurechon
Diego Rodríguez 
Peter Thullen
Niels Ferguson
Raymundo Favila
C. R. Rao
Abu Bakr al-Hassar
Otto Hölder
Enrico Bompiani
Harold Douglas Ursell
Mahan Mj
Jeffrey H. Smith
Judith Q. Longyear
Luchezar L. Avramov
Dimitrie Pompeiu
Ron Goldman 
Gino Loria
Matest M. Agrest
Pedro Nunes
Jan Brinkhuis
Henry Helson
Alexander Aitken
Daniel Kleitman
Michel Las Vergnas
Nicholas Kratzer
Sedley Cudmore
Carl Wilhelm Borchardt
Cornelia Druțu
Rufus Isaacs (game theorist)
Christian Heinrich von Nagel
Paul Vojta
Yves Benoist
Barbara R. Holland
Juan Gutiérrez de Gualda
Benedict Freedman
Alan Herries Wilson
Henry Seely White
Robert C. Prim
Lotfi Asker Zadeh
Ernst Leonard Lindelöf
Friedrich L. Bauer
Sankara Varman
Gigliola Staffilani
John B. Bell
John Conrad Jaeger
Yoshida Mitsuyoshi
Shuntarō Itō
Grete Hermann
Morris H. Hansen
Nicolao Colletti
Nicolas Minorsky
Heinrich Friedrich Gretschel
Iskander Taimanov
Pierre Louis Maupertuis
Daniel Slotnick
Victor Flynn
Shiing-Shen Chern
Christine Riedtmann
Thomas W. Tucker
Franck Barthe
David W. Henderson
Alexis Clairaut
Bernd Sturmfels
Alia Sabur
Bryan Shader
Eric van Douwen
Derek Frank Lawden
Victor J. Katz
William Henry Young
Fan Chung
Dionys Burger
Jakub Kresa
Karl Heun
David Francis Barrow
Edward Norton Lorenz
Murray S. Klamkin
Boris Levitan
Herbert Keller
Walter Neumann
Heinrich Burkhardt
Nguyen Dinh Ngoc
Moritz Pasch
Evan O'Dorney
Raymond Louis Wilder
Samuel McLaren
John H. Coates
Peter Slodowy
Manfredo do Carmo
Nicoteles of Cyrene
David Dolidze
David Tall
Peter Shalen
Leo Törnqvist
Friedrich Robert Helmert
Hans Maass
Stefan Lucks
Walter Bodmer
Abu Ali al-Hasan al-Marrakushi
John Wishart 
David Rees 
Karl Egil Aubert
Edmond Halley
Józef H. Przytycki
Arthur Herbert Copeland
Rudolf Ernest Langer
Bin Yu
Hamnet Holditch
Christopher Budd 
Erling Følner
Thomas Merry
John L. Kelley
Larry V. Hedges
Emil Artin
Ernst Sejersted Selmer
Gloria Conyers Hewitt
Heinz Bachmann
Gianni Dal Maso
John Hudson 
Shen Kuo
Sun-Yung Alice Chang
Robert Gordon of Straloch
Alwin Korselt
Salem Hanna Khamis
Vladimir Lefebvre
Pepijn van Erp
Hugh William Segar
Bill Schelter
Renu C. Laskar
Mladen Bestvina
Josef Stoer
Alexander Tetelbaum
Mark J. Ablowitz
George G. Hall
Felix Otto 
William Elwood Byerly
Đuro Kurepa
David Gabai
Ruth Moufang
José Anastácio da Cunha
Bent Jørgensen 
William Galbraith 
Muramatsu Shigekiyo
G. S. Carr
Andrew Guinand
William Reginald Dean
Ravi Jagannathan
Charlotte Barnum
Marston Morse
James Cullen 
Sylvie Paycha
Sofya Yanovskaya
Ismail al-Jazari
Jakob Steiner
George F C Griss
Euphemia Haynes
John Müller
Dmitry Kramkov
"David Crenshaw Barrow, Jr."
Anton Kotzig
Horst Knörrer
Lesley Sibner
Donald Dines Wall
Georgii Yurii Pfeiffer
William Stanley Jevons
Cargill Gilston Knott
Thomas M. Cover
José Celestino Mutis
Nathaniel Bowditch
Percival Frost
Felix Finster
Wolfgang Walter
Victor Szebehely
Jean-Yves Girard
Zinovy Reichstein
Thomas Kingsmill Abbott
Alison Etheridge
Étienne Bobillier
Georg Landsberg
Henri Cohen (number theorist)
David Pingree
Branko Grünbaum
Wang Fan
Burton Rodin
Jamal Nazrul Islam
Georg Heinrich Ferdinand Nesselmann
Tom M. Apostol
Adrian Krzyżanowski
Torrence Parsons
Blasius of Parma
Edmund Landau
Herman March
Carol S. Woodward
Jean Dieudonné
Trygve Nagell
Gautam Mitra
