name
Arafat Sunny
Pinnaduwage Aravinda de Silva
Archibald William Palm
Archibald Jackson
Archibald Campbell MacLaren
Charles Archibald Wiles
Arif Butt
Arjuna Ranatunga
Arnold Sidebottom
Arnold James Fothergill
Arnold Warren
Arsalan Qadir
Arshad Ali
Arshad Ayub
Arshad Khan
Arshad Laeeq
Arshad Pervez
Arthur George Barrett
Arthur William Carr
Arthur Gordon Chipperfield
Arthur Coningham
Arthur Dolphin
Arthur Edward Fagg
Arthur Fielder
Arthur Edward Robert Gilligan
Arthur Owen Jones
Arthur Chudleigh Beaumont Langton
Arthur Alfred Mailey
Arthur John William McIntyre
Clement Arthur Milton
Arthur Mitchell
Arthur Webb Mold
Arthur Robert Morris
Arthur Edward Ochse
Arthur Dominic Josclyn Pitcher
Arthur John Richardson
Arthur William Seccull
Arthur Shrewsbury
Arthur William Wellard
Arthur Wood
Arthur Edward Dick
Arul Vivasvan Suppiah
Jagdishlal Arun Lal
Aruna Alwis Wijesiri Gunawardene
Arvindrao Laxmanrao Apte
Arvindah Luxman Kandappah
Asad Ali
Sheikh Mohammad Asad Shafiq
Asanka Pradeep Gurusinha
Asghar Ali Khan
Mohammad Asghar Stanikzai
Subasinghe Mudiyanselage Ashan Priyanjan
Ashantha Lakdasa Francis de Mel
Ashfaq Ahmed
Ashish Bagai
Ashish Nehra
Ashish Patel
Ashley Matthew de Silva
Ashley Fraser Giles
Ashley Alexander Mallett
Ashley Allan Noffke
Ashley Renaldo Nurse
Ashley James Woodcock
Ashok Bhimchandra Dinda
Ashok Gandotra
Ashok Omprakash Malhotra
Ashok Vinoo Mankad
Ashok Kurjibhai Patel
Ashraf Ali
Ashton Charles Agar
Ashwell Gavin Prince
Asif Iqbal Razvi
Raja Asif Mahmood
Syed Asif Masood Shah
Mohammad Asif Mujtaba
Asif Abdulhai Mulla
Asim Butt
Mohammad Asim Kamal
Asim Saeed
Mohammad Aslam Khokhar
Ellawalakankanamge Asoka Ranjit de Silva
Assad Badyr Fudadin
Ata-ur-Rehman
